t,U,P,grad = 0.985000 -0.109034 -0.008222 -0.06539
t,U,P,grad = 0.990000 -0.109359 -0.008231 -0.065261
t,U,P,grad = 0.995000 -0.109684 -0.008241 -0.065132
t,U,P,grad = 1.000000 -0.110009 -0.008251 -0.065004
t,U,P,grad = 1.005000 -0.110332 -0.008261 -0.064876
t,U,P,grad = 1.010000 -0.110656 -0.008271 -0.064748
t,U,P,grad = 1.015000 -0.110978 -0.008281 -0.064621
t,U,P,grad = 1.020000 -0.111300 -0.008292 -0.064494
t,U,P,grad = 1.025000 -0.111621 -0.008302 -0.064366
t,U,P,grad = 1.030000 -0.111942 -0.008312 -0.064239
t,U,P,grad = 1.035000 -0.112262 -0.008322 -0.064113
t,U,P,grad = 1.040000 -0.112581 -0.008333 -0.063986
t,U,P,grad = 1.045000 -0.112899 -0.008343 -0.063859
t,U,P,grad = 1.050000 -0.113218 -0.008354 -0.063733
t,U,P,grad = 1.055000 -0.113535 -0.008365 -0.063606
t,U,P,grad = 1.060000 -0.113852 -0.008375 -0.06348
t,U,P,grad = 1.065000 -0.114168 -0.008386 -0.063353
t,U,P,grad = 1.070000 -0.114483 -0.008397 -0.063227
t,U,P,grad = 1.075000 -0.114798 -0.008408 -0.0631
t,U,P,grad = 1.080000 -0.115112 -0.008419 -0.062974
t,U,P,grad = 1.085000 -0.115426 -0.008430 -0.062847
t,U,P,grad = 1.090000 -0.115739 -0.008441 -0.062721
t,U,P,grad = 1.095000 -0.116051 -0.008453 -0.062594
t,U,P,grad = 1.100000 -0.116363 -0.008464 -0.062467
t,U,P,grad = 1.105000 -0.116674 -0.008475 -0.06234
t,U,P,grad = 1.110000 -0.116985 -0.008487 -0.062213
t,U,P,grad = 1.115000 -0.117294 -0.008498 -0.062086
t,U,P,grad = 1.120000 -0.117603 -0.008510 -0.061958
t,U,P,grad = 1.125000 -0.117912 -0.008521 -0.061831
t,U,P,grad = 1.130000 -0.118220 -0.008533 -0.061703
t,U,P,grad = 1.135000 -0.118527 -0.008545 -0.061575
t,U,P,grad = 1.140000 -0.118834 -0.008557 -0.061446
t,U,P,grad = 1.145000 -0.119140 -0.008569 -0.061318
t,U,P,grad = 1.150000 -0.119445 -0.008581 -0.061189
t,U,P,grad = 1.155000 -0.119750 -0.008593 -0.061061
t,U,P,grad = 1.160000 -0.120054 -0.008605 -0.060932
t,U,P,grad = 1.165000 -0.120357 -0.008617 -0.060802
t,U,P,grad = 1.170000 -0.120660 -0.008629 -0.060673
t,U,P,grad = 1.175000 -0.120962 -0.008642 -0.060543
t,U,P,grad = 1.180000 -0.121263 -0.008654 -0.060413
t,U,P,grad = 1.185000 -0.121564 -0.008667 -0.060283
t,U,P,grad = 1.190000 -0.121864 -0.008679 -0.060152
t,U,P,grad = 1.195000 -0.122163 -0.008692 -0.060021
t,U,P,grad = 1.200000 -0.122462 -0.008705 -0.05989
t,U,P,grad = 1.205000 -0.122760 -0.008717 -0.059759
t,U,P,grad = 1.210000 -0.123058 -0.008730 -0.059627
t,U,P,grad = 1.215000 -0.123355 -0.008743 -0.059495
t,U,P,grad = 1.220000 -0.123651 -0.008756 -0.059363
t,U,P,grad = 1.225000 -0.123946 -0.008769 -0.05923
t,U,P,grad = 1.230000 -0.124241 -0.008782 -0.059097
t,U,P,grad = 1.235000 -0.124535 -0.008796 -0.058964
t,U,P,grad = 1.240000 -0.124829 -0.008809 -0.05883
t,U,P,grad = 1.245000 -0.125122 -0.008822 -0.058696
t,U,P,grad = 1.250000 -0.125414 -0.008836 -0.058562
t,U,P,grad = 1.255000 -0.125705 -0.008849 -0.058427
t,U,P,grad = 1.260000 -0.125996 -0.008863 -0.058292
t,U,P,grad = 1.265000 -0.126286 -0.008876 -0.058156
t,U,P,grad = 1.270000 -0.126575 -0.008890 -0.05802
t,U,P,grad = 1.275000 -0.126864 -0.008904 -0.057884
t,U,P,grad = 1.280000 -0.127152 -0.008918 -0.057747
t,U,P,grad = 1.285000 -0.127440 -0.008932 -0.05761
t,U,P,grad = 1.290000 -0.127726 -0.008946 -0.057473
t,U,P,grad = 1.295000 -0.128012 -0.008960 -0.057335
t,U,P,grad = 1.300000 -0.128298 -0.008974 -0.057197
t,U,P,grad = 1.305000 -0.128582 -0.008988 -0.057058
t,U,P,grad = 1.310000 -0.128866 -0.009002 -0.056919
t,U,P,grad = 1.315000 -0.129149 -0.009017 -0.05678
t,U,P,grad = 1.320000 -0.129432 -0.009031 -0.05664
t,U,P,grad = 1.325000 -0.129714 -0.009045 -0.056499
t,U,P,grad = 1.330000 -0.129995 -0.009060 -0.056359
t,U,P,grad = 1.335000 -0.130275 -0.009075 -0.056217
t,U,P,grad = 1.340000 -0.130555 -0.009089 -0.056076
t,U,P,grad = 1.345000 -0.130834 -0.009104 -0.055934
t,U,P,grad = 1.350000 -0.131112 -0.009119 -0.055791
t,U,P,grad = 1.355000 -0.131389 -0.009134 -0.055648
t,U,P,grad = 1.360000 -0.131666 -0.009149 -0.055505
t,U,P,grad = 1.365000 -0.131942 -0.009164 -0.055361
t,U,P,grad = 1.370000 -0.132218 -0.009179 -0.055217
t,U,P,grad = 1.375000 -0.132492 -0.009194 -0.055073
t,U,P,grad = 1.380000 -0.132766 -0.009209 -0.054928
t,U,P,grad = 1.385000 -0.133039 -0.009224 -0.054782
t,U,P,grad = 1.390000 -0.133312 -0.009240 -0.054637
t,U,P,grad = 1.395000 -0.133584 -0.009255 -0.05449
t,U,P,grad = 1.400000 -0.133855 -0.009270 -0.054344
t,U,P,grad = 1.405000 -0.134125 -0.009286 -0.054197
t,U,P,grad = 1.410000 -0.134394 -0.009302 -0.05405
t,U,P,grad = 1.415000 -0.134663 -0.009317 -0.053902
t,U,P,grad = 1.420000 -0.134931 -0.009333 -0.053754
t,U,P,grad = 1.425000 -0.135198 -0.009349 -0.053605
t,U,P,grad = 1.430000 -0.135465 -0.009365 -0.053456
t,U,P,grad = 1.435000 -0.135731 -0.009381 -0.053307
t,U,P,grad = 1.440000 -0.135996 -0.009397 -0.053157
t,U,P,grad = 1.445000 -0.136260 -0.009413 -0.053007
t,U,P,grad = 1.450000 -0.136524 -0.009429 -0.052856
t,U,P,grad = 1.455000 -0.136786 -0.009445 -0.052705
t,U,P,grad = 1.460000 -0.137048 -0.009461 -0.052554
t,U,P,grad = 1.465000 -0.137310 -0.009478 -0.052403
t,U,P,grad = 1.470000 -0.137570 -0.009494 -0.052251
t,U,P,grad = 1.475000 -0.137830 -0.009510 -0.052098
t,U,P,grad = 1.480000 -0.138089 -0.009527 -0.051945
t,U,P,grad = 1.485000 -0.138347 -0.009543 -0.051792
t,U,P,grad = 1.490000 -0.138604 -0.009560 -0.051639
t,U,P,grad = 1.495000 -0.138861 -0.009577 -0.051486
t,U,P,grad = 1.500000 -0.139117 -0.009593 -0.051332
t,U,P,grad = 1.505000 -0.139372 -0.009610 -0.051178
t,U,P,grad = 1.510000 -0.139626 -0.009627 -0.051023
t,U,P,grad = 1.515000 -0.139880 -0.009644 -0.050868
t,U,P,grad = 1.520000 -0.140133 -0.009661 -0.050712
t,U,P,grad = 1.525000 -0.140385 -0.009678 -0.050557
t,U,P,grad = 1.530000 -0.140636 -0.009695 -0.050401
t,U,P,grad = 1.535000 -0.140886 -0.009712 -0.050244
t,U,P,grad = 1.540000 -0.141136 -0.009729 -0.050087
t,U,P,grad = 1.545000 -0.141385 -0.009747 -0.04993
t,U,P,grad = 1.550000 -0.141633 -0.009764 -0.049773
t,U,P,grad = 1.555000 -0.141880 -0.009781 -0.049615
t,U,P,grad = 1.560000 -0.142127 -0.009799 -0.049457
t,U,P,grad = 1.565000 -0.142373 -0.009816 -0.049299
t,U,P,grad = 1.570000 -0.142617 -0.009834 -0.049141
t,U,P,grad = 1.575000 -0.142862 -0.009852 -0.048982
t,U,P,grad = 1.580000 -0.143105 -0.009869 -0.048823
t,U,P,grad = 1.585000 -0.143347 -0.009887 -0.048663
t,U,P,grad = 1.590000 -0.143589 -0.009905 -0.048504
t,U,P,grad = 1.595000 -0.143830 -0.009923 -0.048344
t,U,P,grad = 1.600000 -0.144070 -0.009941 -0.048184
t,U,P,grad = 1.605000 -0.144309 -0.009959 -0.048024
t,U,P,grad = 1.610000 -0.144548 -0.009977 -0.047863
t,U,P,grad = 1.615000 -0.144786 -0.009995 -0.047702
t,U,P,grad = 1.620000 -0.145023 -0.010013 -0.047542
t,U,P,grad = 1.625000 -0.145259 -0.010031 -0.04738
t,U,P,grad = 1.630000 -0.145494 -0.010049 -0.047219
t,U,P,grad = 1.635000 -0.145728 -0.010067 -0.047057
t,U,P,grad = 1.640000 -0.145962 -0.010086 -0.046896
t,U,P,grad = 1.645000 -0.146195 -0.010104 -0.046734
t,U,P,grad = 1.650000 -0.146427 -0.010123 -0.046572
t,U,P,grad = 1.655000 -0.146658 -0.010141 -0.046409
t,U,P,grad = 1.660000 -0.146889 -0.010160 -0.046247
t,U,P,grad = 1.665000 -0.147118 -0.010178 -0.046084
t,U,P,grad = 1.670000 -0.147347 -0.010197 -0.045921
t,U,P,grad = 1.675000 -0.147575 -0.010216 -0.045759
t,U,P,grad = 1.680000 -0.147802 -0.010234 -0.045595
t,U,P,grad = 1.685000 -0.148029 -0.010253 -0.045432
t,U,P,grad = 1.690000 -0.148254 -0.010272 -0.045269
t,U,P,grad = 1.695000 -0.148479 -0.010291 -0.045105
t,U,P,grad = 1.700000 -0.148703 -0.010310 -0.044942
t,U,P,grad = 1.705000 -0.148926 -0.010329 -0.044778
t,U,P,grad = 1.710000 -0.149148 -0.010348 -0.044614
t,U,P,grad = 1.715000 -0.149369 -0.010367 -0.04445
t,U,P,grad = 1.720000 -0.149590 -0.010386 -0.044286
t,U,P,grad = 1.725000 -0.149810 -0.010405 -0.044122
